番号,開催日,終了日,イベント等名,会場,開催等状況,ホームページURL,問い合わせ先,備考,
1,2020-03-03,当面の間,家庭生活相談,市民の声を聞く課・各区役所,"電話相談のみ受付,（面談相談休止中）","http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html",総務局広報部市民の声を聞く課,011-211-2042,
2,2020-04-13,当面の間,法律相談,市民の声を聞く課・各区役所,"【市民の声を聞く課】電話相談のみ受付（面談相談休止）,【各区役所】,全面休止","http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan.html,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html",総務局広報部市民の声を聞く課,011-211-2042,
3,2020-04-21,当面の間,税相談,市民の声を聞く課,"電話相談のみ受付,（面談相談休止中）",http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html,総務局広報部市民の声を聞く課,011-211-2042,
4,2020-07-01,2021-12-01,札幌市手話通訳者養成講座,"視聴覚障がい者情報センター,（一部オンライン開催）",開催,http://www.city.sapporo.jp/shogaifukushi/communication/syuwayousei.html,札幌聴覚障害者協会,011-633-7575,
5,2020-11-25,当面の間,人権相談,市民の声を聞く課,電話相談のみ受付（面談相談休止中）,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html,総務局広報部市民の声を聞く課,011-211-2042,
6,2020-11-26,当面の間,不動産相談（取引・賃貸など）,市民の声を聞く課,中止,http://www.city.sapporo.jp/somu/shiminnokoe/sakusei/soudan_shiminnokoe.html,総務局広報部市民の声を聞く課,011-211-2042,
7,2021-03-01,,クリーンミーティング（出前講座）,各区,"令和３年７月22日～8月22日まで受付を中止。,※ただし、小学生を対象とした出前教室は受付。",,環境局清掃事業担当部,各清掃事務所,
8,2021-05-06,2022-03-20,特定健診・特定保健指導（住民集団健診）,各地区会館等,7月12日から再開,http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
9,2021-05-06,2022-03-20,後期高齢者健診（住民集団健診）,各地区会館等,7月12日から再開,http://www.city.sapporo.jp/hoken-iryo/kokuho/kensin4.html,保健福祉局保険医療部国保健康推進担当課,011-211-2887,
10,2021-05-06,,胃・大腸・肺がん検診、結核住民健診（住民集団健診）,各区保健センター、区民センター、地区会館等,7月12日から再開,"https://www.city.sapporo.jp/eisei/kenshin/shuudan.html,,https://www.city.sapporo.jp/hokenjo/f1kansen/kekkakujuuminkensin.html",保健福祉局保健所健康企画課,011-622-5151,保健福祉局保健所感染症総合対策課011-622-5199
